,px,t0,t1
0,-6.7021,24,44
1,-6.5973,9,15
2,-6.4926,17,31
3,-6.3879,14,35
4,-6.2832,10,16
5,-6.1785,21,37
6,-6.0737,11,16
7,-5.969,14,28
8,-5.8643,20,40
9,-5.7596,7,15
10,-5.6549,22,40
11,-5.5501,10,16
12,-5.4454,17,30
13,-5.3407,15,40
14,-5.236,8,16
15,-5.1313,20,38
16,-5.0265,10,16
17,-4.9218,13,27
18,-4.8171,19,39
19,-4.7124,6,15
20,-4.6077,21,38
21,-4.5029,10,15
22,-4.3982,14,30
23,-4.2935,14,38
24,-4.1888,8,16
25,-4.0841,17,43
26,-3.9794,11,16
27,-3.8746,13,28
28,-3.7699,15,38
29,-3.6652,7,15
30,-3.5605,16,33
31,-3.4558,10,15
32,-3.351,14,32
33,-3.2463,15,40
34,-3.1416,10,18
35,-3.0369,15,45
36,-2.9322,10,17
37,-2.8274,12,30
38,-2.7227,11,39
39,-2.618,1,15
40,-2.5133,10,40
41,-2.4086,11,15
42,-2.3038,13,33
43,-2.1991,15,39
44,-2.0944,2,31
45,-1.9897,16,41
46,-1.885,11,33
47,-1.7802,11,29
48,-1.6755,24,39
49,-1.5708,1,14
50,-1.4661,21,32
51,-1.3614,11,38
52,-1.2566,13,33
53,-1.1519,16,41
54,-1.0472,2,33
55,-0.9425,16,39
56,-0.8378,12,33
57,-0.733,12,18
58,-0.6283,18,40
59,-0.5236,0,60
60,-0.4189,19,41
61,-0.3142,12,16
62,-0.2094,13,34
63,-0.1047,16,41
64,0.0,23,33
65,0.1047,16,41
66,0.2094,13,34
67,0.3142,12,16
68,0.4189,19,41
69,0.5236,0,60
70,0.6283,18,40
71,0.733,12,18
72,0.8378,12,33
73,0.9425,16,39
74,1.0472,2,33
75,1.1519,16,41
76,1.2566,13,33
77,1.3614,11,38
78,1.4661,21,32
79,1.5708,1,14
80,1.6755,24,39
81,1.7802,11,29
82,1.885,11,33
83,1.9897,16,41
84,2.0944,2,31
85,2.1991,15,39
86,2.3038,13,33
87,2.4086,11,15
88,2.5133,10,40
89,2.618,1,15
90,2.7227,11,39
91,2.8274,12,30
92,2.9322,10,17
93,3.0369,15,45
94,3.1416,10,18
95,3.2463,15,40
96,3.351,14,32
97,3.4558,10,15
98,3.5605,16,33
99,3.6652,7,15
100,3.7699,15,38
101,3.8746,13,28
102,3.9794,11,16
103,4.0841,17,43
104,4.1888,8,16
105,4.2935,14,38
106,4.3982,14,30
107,4.5029,10,15
108,4.6077,21,38
109,4.7124,6,15
110,4.8171,19,39
111,4.9218,13,27
112,5.0265,10,16
113,5.1313,20,38
114,5.236,8,16
115,5.3407,15,40
116,5.4454,17,30
117,5.5501,10,16
118,5.6549,22,40
119,5.7596,7,15
120,5.8643,20,40
121,5.969,14,28
122,6.0737,11,16
123,6.1785,21,37
124,6.2832,10,16
125,6.3879,14,35
126,6.4926,17,31
127,6.5973,9,15
